City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
257,codrington,-38.2667,141.9667,14.23,62,46,3.03,AU,1683871545
258,port hedland,-20.3167,118.5667,34.03,7,7,6.69,AU,1683871483
259,walvis bay,-22.9575,14.5053,14.53,94,100,5.66,NA,1683871546
260,kuching,1.55,110.3333,34.12,61,40,2.24,MY,1683871233
261,rongelap,11.1635,166.8941,27.57,83,63,7.69,MH,1683871546
262,ennis,52.8436,-8.9864,7.96,93,20,2.06,IE,1683871547
263,antigonish,45.6169,-61.9986,6.01,88,57,2.94,CA,1683871284
264,general conesa,-40.1,-64.4333,14.55,53,100,5.73,AR,1683871548
265,teguise,29.0605,-13.564,16.12,82,20,6.69,ES,1683871548
266,lorengau,-2.0226,147.2712,28.24,81,97,3.51,PG,1683871548
267,quellon,-43.1167,-73.6167,13.14,94,100,1.54,CL,1683871332
268,general acha,-37.377,-64.6043,11.13,87,74,4.76,AR,1683871549
269,sao joaquim,-28.2939,-49.9317,3.67,97,51,1.42,BR,1683871549
270,yerofey pavlovich,53.9667,121.9667,2.9,89,100,1.99,RU,1683871550
271,bichura,50.5881,107.6022,16.89,27,54,5.72,RU,1683871550
272,nyaunglebin,17.95,96.7333,30.21,64,100,2.14,MM,1683871551
273,acarau,-2.8856,-40.12,24.92,86,26,2.77,BR,1683871551
274,rundu,-17.9333,19.7667,16.09,39,5,1.77,NA,1683871552
275,kharp,66.8014,65.8081,-3.72,90,100,3.08,RU,1683871553
276,paita,-5.0892,-81.1144,24.17,80,54,5.0,PE,1683871554
277,malvan,16.0667,73.4667,31.4,62,66,3.83,IN,1683871555
278,mont-dore,-22.2833,166.5833,24.44,99,100,5.05,NC,1683871527
279,corinto,37.9407,22.9573,16.61,69,4,2.11,GR,1683871556
280,forster,-32.1667,152.5167,19.52,76,0,0.89,AU,1683871556
281,recife,-8.0539,-34.8811,28.02,65,75,1.54,BR,1683871557
282,raduzhny,62.0961,77.475,-2.7,46,95,4.31,RU,1683871557
283,kolonia,50.9333,6.95,13.36,90,100,2.57,DE,1683871558
284,acajutla,13.5928,-89.8275,27.72,79,1,3.07,SV,1683871558
285,bure,10.7,37.0667,23.94,26,74,1.02,ET,1683871559
286,lubang,13.8584,120.124,29.63,73,49,3.54,PH,1683871559
287,tenno,39.9,139.9667,18.5,55,3,4.03,JP,1683871560
288,priob'ye,62.5206,65.5964,9.35,37,100,2.41,RU,1683871560
289,mar del plata,-38.0023,-57.5575,10.61,87,0,2.06,AR,1683871561
290,bubaque,11.2833,-15.8333,26.14,71,100,6.4,GW,1683871561
291,manacapuru,-3.2997,-60.6206,23.44,97,100,1.68,BR,1683871561
292,langxiang,46.95,128.8833,22.62,19,100,3.42,CN,1683871562
293,tazovsky,67.4667,78.7,-11.44,81,66,4.23,RU,1683871562
294,vanimo,-2.6741,141.3028,29.26,77,72,3.43,PG,1683871563
295,sipalay,9.75,122.5,30.05,72,100,2.3,PH,1683871563
296,laguna,38.421,-121.4238,17.28,71,0,2.06,US,1683871563
297,bady bassitt,-20.9181,-49.4453,19.11,77,0,0.0,BR,1683871564
298,les cayes,18.2,-73.75,24.15,86,2,1.18,HT,1683871564
299,teknaf,20.8624,92.3058,29.43,75,100,6.81,BD,1683871565
300,san antonio de pale,-1.4014,5.6325,28.09,77,98,4.63,GQ,1683871380
301,viveiro,43.6623,-7.5934,13.46,83,65,4.62,ES,1683871566
302,colares,38.7992,-9.4469,14.38,76,0,7.15,PT,1683871566
303,coquimbo,-29.9533,-71.3436,12.85,100,100,1.03,CL,1683871206
304,mwandiga,-4.83,29.6581,20.66,88,75,0.0,TZ,1683871567
305,sierra grande,-41.606,-65.3557,12.72,59,100,1.34,AR,1683871567
306,okhotsk,59.3833,143.3,3.14,79,100,3.42,RU,1683871568
307,mitsamiouli,-11.3847,43.2844,27.36,71,41,2.52,KM,1683871568
308,karaton,-6.3424,106.1045,32.56,55,77,3.37,ID,1683871569
309,pescia,43.897,10.6904,15.91,90,28,6.26,IT,1683871570
